ResponseId,StartDate,EndDate,cpi_Direction_vision_1_The company's vision is very clear.,cpi_Direction_vision_2_I can summarize the company's vision to someone I meet.,cpi_Direction_vision_3_I feel inspired by the company's vision.,cpi_Direction_vision_4_Leaders are passionate about the company's vision.,cpi_Direction_vision_5_Leaders are guided by the company's vision.,cpi_Direction_strategy_1_I have confidence in the company's strategy.,cpi_Direction_strategy_2_I know what my company wants to achieve in the next year.,cpi_Direction_strategy_3_This company knows how to get the results it is looking for.,cpi_Direction_strategy_4_We know what our next step is for improving our capabilities.,cpi_Direction_strategy_5_Leadership effectively connects my work to the company goals.,cpi_Direction_leadership_1_I have a great deal of confidence in the leadership of this company.,cpi_Direction_leadership_2_Company leaders impact the attitude and culture of the entire company.,cpi_Direction_leadership_3_The leadership of this company is fantastic in comparison to the leadership of other organizations I've been involved with.,cpi_Direction_leadership_4_Leaders find the time to get to know the employees.,cpi_Direction_leadership_5_I have confidence in the decision making of company leaders. ,cpi_Operations_adaptability_1_We deal with the same problems again and again.*,cpi_Operations_adaptability_2_Company changes usually have a positive impact on me.,cpi_Operations_adaptability_3_People look to pass the blame when something goes wrong.*,"cpi_Operations_adaptability_4_If an issue arises, people mostly remain calm and focused.",cpi_Operations_adaptability_5_We use feedback from customers to improve our services.,cpi_Operations_performance_1_I have real time access to business i.,cpi_Operations_performance_2_My team uses performance measures (i.e. key performance indicators).,cpi_Operations_performance_3_We are recognized for our successes.,cpi_Operations_performance_4_We have a clear sense at all times whether or not we're meeting our objectives.,cpi_Operations_performance_5_We are held accountable for our performance.,cpi_Operations_systems_1_I often use 'workarounds' instead of the company's established systems.*,cpi_Operations_systems_2_It often takes too long to get the information I need.*,"cpi_Operations_systems_3_Oftentimes, I have to take care of things that shouldn't be my responsibility.*",cpi_Operations_systems_4_I know who to go to when I have concerns about our systems/processes.,cpi_Operations_systems_5_I follow the company's standardized procedures.,cpi_People_teamwork_1_Our team consistently meets our goals.,cpi_People_teamwork_2_Our work would be better if we collaborated more.,cpi_People_teamwork_3_Our skills complement each other well.,cpi_People_teamwork_4_There's a real sense that I am part of a team.,cpi_People_teamwork_5_Our company has a spirit of teamwork and cooperation.,cpi_People_talent_1_My company does a good job of hiring the right people for the right jobs.,cpi_People_talent_2_I am confident my performance affects my compensation.,cpi_People_talent_3_I get along well with my supervisor.,cpi_People_talent_4_Performance reviews are a waste of time.*,"cpi_People_talent_5_Based on my experience, the company does a great job of acclimating new employees.",cpi_People_development_1_I get helpful feedback from my supervisor on a regular basis.,cpi_People_development_2_I am consistently improving at my job.,cpi_People_development_3_People here are always willing to help me learn.,cpi_People_development_4_The company invests in employees learning new skills.,cpi_People_development_5_I have grown professionally during my time with this company.,cpi_Engagement_fit_1_My job role is always extremely clear.,cpi_Engagement_fit_2_I am very frequently overwhelmed at work.*,cpi_Engagement_fit_3_My job is a great fit for my skills and strengths.,cpi_Engagement_fit_4_I embrace the company's core values.,cpi_Engagement_fit_5_I look forward to going to work.,cpi_Engagement_customer_1_I believe in the products or services we provide.,cpi_Engagement_customer_2_I respond to customer needs as quickly as possible.,cpi_Engagement_customer_3_I build great relationships with my customers.,cpi_Engagement_customer_4_I'm disappointed if I don't meet my customers' expectations.,cpi_Engagement_customer_5_I seek feedback from customers to improve our products or services.,cpi_Engagement_climate_1_My opinions are heard and valued.,cpi_Engagement_climate_2_I am confident that leadership understands what I do.,cpi_Engagement_climate_3_I am very comfortable letting my supervisor know when I've made a mistake.,cpi_Engagement_climate_4_I trust my supervisor has my best interest in mind.,cpi_Engagement_climate_5_I feel micromanaged.*,extra_pos_positivity_1_People in my organization express genuine gratitude toward one another.,extra_pos_positivity_2_I practice mindfulness by staying in the present moment while doing my work.,extra_pos_positivity_3_People I work with generally feel optimistic about the organization's future.,extra_pos_positivity_4_People that I work with care about my happiness and well-being.,extra_pos_positivity_5_I feel inspired every day to do my best work.,"extra_sat_satisfaction_1_Taking everything into consideration, I am satisfied with my job as a whole.",extra_eff_effort_2_I am willing to put in a great deal of effort beyond what is normally expected in order to help the organization.,nps,nps_group,CPI_index,Direction,Operations,People,Engagement,Vision,Strategy,Leadership,Adaptability,Performance,Systems,Teamwork,Talent,Development,Fit,Customer,Climate,Positivity,CPI_missing,CPI_tot_sd,Direction_sd,Operations_sd,People_sd,Engagement_sd,TENURE,FUNCTION,LEVEL,LOCATION,GENERATION,GENDER
166,"Jul 8, 2020 1:24:26 AM","Jul 8, 2020 1:51:04 AM",50,25,25,50,50,25,75,50,75,100,25,100,25,25,25,25,50,25,75,75,50,0,0,0,75,25,0,0,75,100,50,75,75,75,75,25,50,100,75,25,0,100,75,75,100,0,25,75,75,25,75,100,100,100,100,25,25,100,50,50,50,75,25,50,50,50,100,7,Passive,53.333333333333336,48.333333333333336,38.333333333333336,65,61.666666666666664,40,65,40,50,25,40,70,55,70,40,95,50,50,0,33.174130658449606,27.494588212089685,35.18657752744984,29.58039891549808,35.18657752744984,Less than a year,Operations,Supervisor,"Houston, TX",Generation Y (born between 1981 - 2000),Male
167,"Jul 8, 2020 4:04:56 AM","Jul 8, 2020 5:27:08 AM",50,0,0,0,0,0,0,50,25,50,0,50,0,75,50,50,50,25,25,50,25,50,50,75,0,75,75,0,50,100,25,50,75,25,50,75,0,50,75,0,50,100,50,25,75,75,25,100,50,75,75,100,100,50,100,50,75,75,50,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.916666666666664,23.333333333333332,46.666666666666664,48.333333333333336,73.33333333333333,10,25,35,40,40,60,45,40,60,65,85,70,NaN,0,32.04084429919127,27.494588212089685,28.136571693556885,29.072978781646974,24.028752618081374,1 - 4 years,Operations,Team Member,"Houston, TX",Generation Y (born between 1981 - 2000),Male
168,"Jul 8, 2020 8:29:38 AM","Jul 8, 2020 9:28:13 AM",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,50,25,50,50,50,50,50,75,75,75,50,50,25,75,75,75,75,75,75,75,75,75,100,75,75,75,75,75,50,75,75,50,75,75,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,8,Passive,69.16666666666667,75,55,75,71.66666666666667,75,75,75,45,65,55,75,80,70,65,75,75,75,0,15.767365847945193,0,16.903085094570333,9.44911182523068,8.79664438186246,9+ years,Operations,Leadership (Director and up),"SARNA, Canada",Generation Y (born between 1981 - 2000),Male
169,"Jul 8, 2020 9:38:23 AM","Jul 8, 2020 9:57:15 AM",75,75,75,75,75,50,50,75,75,75,75,75,75,75,75,50,75,50,75,75,50,50,75,75,75,50,50,50,75,75,75,75,75,75,75,75,75,75,50,50,50,75,50,75,75,75,25,75,75,75,75,75,75,75,75,50,75,75,75,25,75,75,75,75,75,75,75,10,Promoter,67.5,71.66666666666667,63.333333333333336,68.33333333333333,66.66666666666667,75,65,75,65,65,60,75,65,65,65,75,60,75,0,15.606725167020825,8.79664438186246,12.909944487358056,11.443442705426587,18.09367161139365,9+ years,Operations,Team Member,"SARNA, Canada",Baby Boomer (born between 1946 - 1965),Female
171,"Jul 8, 2020 9:45:38 AM","Jul 8, 2020 10:02:32 AM",75,75,100,100,75,75,50,75,100,100,75,75,100,100,75,50,50,75,100,100,25,50,75,100,50,100,50,75,100,100,75,75,75,100,100,75,100,100,50,75,75,100,50,50,75,100,100,75,75,100,100,100,50,100,50,50,75,100,100,75,75,75,100,100,100,100,100,9,Promoter,79.58333333333333,83.33333333333333,73.33333333333333,78.33333333333333,83.33333333333333,85,80,85,75,60,85,85,80,70,90,80,80,90,0,22.395819626008866,15.430334996209192,25.81988897471611,18.580583823930162,20.412414523193153,Less than a year,Operations,Team Member,"SARNA, Canada",Generation Y (born between 1981 - 2000),Male
172,"Jul 8, 2020 9:51:09 AM","Jul 8, 2020 10:17:51 AM",25,25,50,25,25,75,25,25,25,75,50,50,50,75,50,25,50,0,75,50,50,50,0,0,75,50,50,0,75,75,50,50,50,25,0,25,75,75,100,75,25,75,75,75,75,75,75,100,75,0,75,75,50,75,50,0,75,100,75,50,0,75,25,0,0,25,100,8,Passive,51.25,43.333333333333336,41.666666666666664,56.666666666666664,63.333333333333336,30,45,55,40,35,50,35,70,65,65,65,60,20,0,28.085189081018346,19.970215917949506,29.378482569650156,27.494588212089685,29.680841985233183,1 - 4 years,Operations,Team Member,"SARNA, Canada",Generation X (born between 1966 - 1980),Male
174,"Jul 8, 2020 10:02:06 AM","Jul 8, 2020 11:01:01 AM",75,75,100,100,100,75,75,75,75,75,75,100,50,100,75,25,75,75,75,75,100,100,100,75,100,100,100,100,75,100,75,100,75,100,100,75,50,100,100,75,75,75,100,75,100,100,100,100,100,100,75,100,50,100,100,75,100,100,100,100,50,75,75,75,75,100,100,9,Promoter,86.25,81.66666666666667,85,85,93.33333333333333,90,75,80,65,95,95,90,80,85,100,85,95,70,0,19.876804019978955,14.840420992616592,20.701966780270627,15.811388300841896,14.840420992616592,1 - 4 years,Order Process & Quality,Management,"Houston, TX",Generation Y (born between 1981 - 2000),Female
175,"Jul 8, 2020 10:56:03 AM","Jul 8, 2020 11:22:47 AM",75,25,50,50,50,50,50,50,50,50,50,50,50,75,50,50,50,50,75,50,50,75,50,75,75,50,50,50,50,50,75,75,75,75,75,50,50,75,75,50,75,75,50,50,50,75,75,50,25,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75,75,50,5,Detractor,56.25,51.666666666666664,56.666666666666664,65,51.666666666666664,50,50,55,55,65,50,75,60,60,55,50,50,55,0,14.39733538294612,11.443442705426587,11.443442705426587,12.677313820927749,11.443442705426587,5 - 8 years,Order Process & Quality,Team Member,"Houston, TX",Generation Y (born between 1981 - 2000),Male
176,"Jul 8, 2020 11:15:30 AM","Jul 8, 2020 11:52:38 AM",75,100,75,75,75,75,75,75,50,75,100,75,75,75,75,50,50,50,75,50,50,50,75,50,75,75,75,75,75,100,50,75,75,75,75,75,50,100,50,50,50,50,75,50,75,100,75,100,100,75,100,100,75,100,50,75,100,75,100,50,75,75,75,75,75,75,75,8,Passive,72.91666666666667,76.66666666666667,65,65,85,80,70,80,55,60,80,70,65,60,90,85,80,75,0,19.45809626374528,11.443442705426587,15.811388300841896,15.811388300841896,18.41970994032518,1 - 4 years,IsoTek Manufacturing,Team Member,"SARNA, Canada",Generation X (born between 1966 - 1980),Male
177,"Jul 8, 2020 11:21:28 AM","Jul 8, 2020 12:01:11 PM",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,75,50,50,75,100,75,75,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,Promoter,95.41666666666667,100,81.66666666666667,100,100,100,100,100,65,90,90,100,100,100,100,100,100,100,0,17.330953741543347,0,19.970215917949506,0,0,1 - 4 years,Sales,Team Member,"Dominquez, CA",Generation X (born between 1966 - 1980),Male
178,"Jul 8, 2020 11:38:54 AM","Jul 8, 2020 12:19:54 PM",50,25,75,50,75,75,75,50,75,75,50,100,50,25,50,50,75,0,75,75,75,50,75,100,100,0,25,0,100,50,75,25,75,75,50,75,100,100,100,75,100,100,75,50,100,75,25,100,100,75,100,100,75,100,100,25,50,100,100,0,25,50,25,0,50,100,100,7,Passive,67.5,60,56.666666666666664,78.33333333333333,75,55,70,55,55,80,35,60,90,85,75,95,55,30,0,30.664167719250607,20.701966780270627,35.939764421413045,22.886885410853175,34.06925719346235,1 - 4 years,Operations,Supervisor,"Beaumont, TX",Generation Y (born between 1981 - 2000),Male
179,"Jul 8, 2020 11:42:41 AM","Jul 8, 2020 11:52:02 AM",50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,0,50,0,25,50,50,50,50,25,25,100,25,25,50,100,50,50,50,50,50,50,75,75,50,50,50,75,50,50,100,75,50,75,75,75,75,100,100,100,100,50,75,75,75,75,50,75,50,50,75,75,75,10,Promoter,57.083333333333336,50,41.666666666666664,58.333333333333336,78.33333333333333,50,50,50,25,40,60,50,60,65,70,95,70,60,0,23.371740577225793,0,29.378482569650156,15.430334996209192,15.998511835554611,9+ years,Sales,Team Member,"New Orleans, LA",Baby Boomer (born between 1946 - 1965),Female
182,"Jul 8, 2020 1:39:02 PM","Jul 8, 2020 1:56:46 PM",100,75,75,100,100,100,75,75,75,100,100,75,100,100,100,75,75,75,100,100,50,100,75,75,100,75,75,50,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,75,50,75,100,100,75,100,50,100,100,100,100,100,100,75,100,100,100,100,100,100,100,10,Promoter,89.16666666666667,90,81.66666666666667,98.33333333333333,86.66666666666667,90,85,95,85,80,80,100,100,95,80,85,95,100,0,19.004223331570756,12.677313820927749,17.59328876372492,6.454972243679028,18.580583823930162,Less than a year,Finance/IT,Team Member,"Houston, TX",Generation Z (born between 2001 - 2020),Female
183,"Jul 8, 2020 1:49:39 PM","Jul 8, 2020 2:04:07 PM",75,75,50,75,50,75,75,75,50,75,75,75,75,100,75,75,75,75,75,50,75,75,75,75,75,50,75,75,75,75,75,75,75,75,50,75,75,100,75,75,75,75,75,75,75,75,75,75,50,75,75,75,75,75,75,75,75,75,75,100,75,75,75,50,75,75,75,9,Promoter,73.33333333333333,71.66666666666667,71.66666666666667,75,75,65,70,80,70,75,70,70,80,75,70,75,80,70,0,13.6552234405287,12.909944487358056,8.79664438186246,9.44911182523068,9.44911182523068,1 - 4 years,Operations,Team Member,"SARNA, Canada",Baby Boomer (born between 1946 - 1965),Male
185,"Jul 8, 2020 3:18:46 PM","Jul 8, 2020 3:32:41 PM",25,25,25,25,25,25,25,25,25,25,25,75,25,25,25,0,50,25,50,25,50,25,25,25,25,50,25,25,25,75,75,75,50,50,25,25,25,100,50,25,25,75,50,0,100,25,25,75,50,50,75,75,50,75,75,50,25,100,75,100,25,50,25,25,50,75,100,7,Passive,43.333333333333336,28.333333333333332,33.333333333333336,50,61.666666666666664,25,25,35,30,30,40,55,45,50,45,70,70,35,0,25.744910167903875,12.909944487358056,18.09367161139365,29.88071523335984,24.760760046800623,9+ years,Operations,Supervisor,"Ferndale, WA",Generation X (born between 1966 - 1980),Male
189,"Jul 8, 2020 8:20:38 PM","Jul 8, 2020 8:29:32 PM",75,75,75,75,75,75,50,75,75,75,75,75,50,50,50,25,75,25,75,75,50,75,50,75,75,75,50,50,50,100,75,75,75,75,75,50,75,50,50,50,75,75,50,50,75,75,50,75,75,75,75,75,75,75,75,50,75,75,75,50,75,75,75,50,75,75,75,7,Passive,66.25,68.33333333333333,61.666666666666664,65,70,75,70,60,55,65,65,75,55,65,70,75,65,70,0,16.496160094345473,11.443442705426587,20.845234695819798,12.677313820927749,10.350983390135314,9+ years,Order Process & Quality,Team Member,"Houston, TX",Baby Boomer (born between 1946 - 1965),Male
190,"Jul 9, 2020 4:44:03 AM","Jul 9, 2020 5:14:31 AM",75,75,75,75,75,75,75,75,75,75,75,75,50,50,50,25,75,25,50,50,50,50,50,50,75,100,50,50,50,75,75,75,50,75,75,0,50,50,50,50,50,75,50,50,50,75,50,75,75,75,75,75,75,75,75,50,50,50,50,50,50,75,50,50,75,75,75,8,Passive,61.25,70,55,55,65,75,75,60,45,55,65,70,40,55,70,75,50,60,0,18.31970337088018,10.350983390135314,19.364916731037084,19.364916731037084,12.677313820927749,9+ years,Order Process & Quality,Team Member,"Houston, TX",Baby Boomer (born between 1946 - 1965),Male
191,"Jul 9, 2020 8:43:46 AM","Jul 9, 2020 10:42:16 AM",50,50,50,50,50,50,75,25,50,50,25,50,25,50,50,25,50,25,75,50,25,50,50,50,50,75,50,25,75,75,50,25,50,50,50,25,25,75,25,50,75,75,75,25,75,25,75,75,75,50,75,75,50,75,50,50,50,75,75,75,50,50,50,25,50,75,75,4,Detractor,52.5,46.666666666666664,50,50,63.333333333333336,50,50,40,45,45,60,45,40,65,60,65,65,45,0,19.13575074661823,12.909944487358056,18.89822365046136,21.128856368212915,15.998511835554611,9+ years,Order Process & Quality,Team Member,"Baton Rouge, LA",Baby Boomer (born between 1946 - 1965),Male
192,"Jul 9, 2020 9:10:10 AM","Jul 9, 2020 10:20:33 AM",100,75,75,100,100,100,75,75,75,100,100,100,100,100,100,75,50,75,75,75,75,50,75,75,100,100,100,50,100,75,50,100,100,100,100,75,50,100,75,75,100,75,100,75,75,75,75,75,75,75,100,100,50,75,75,100,100,100,100,100,75,75,75,75,100,75,75,8,Passive,84.16666666666667,91.66666666666667,76.66666666666667,83.33333333333333,85,90,85,100,70,75,85,90,75,85,75,80,100,80,0,19.49279084837428,12.198750911856663,17.59328876372492,18.09367161139365,15.811388300841896,5 - 8 years,Operations,Supervisor,"Minneapolis, MN",Generation X (born between 1966 - 1980),Male
193,"Jul 9, 2020 11:33:10 AM","Jul 9, 2020 2:30:43 PM",100,100,100,100,100,75,75,75,75,75,100,75,75,75,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,100,100,100,100,100,75,50,75,75,75,75,75,75,100,75,75,100,100,100,9,Promoter,80.41666666666667,86.66666666666667,76.66666666666667,75,83.33333333333333,100,75,85,75,75,80,75,75,75,90,85,75,85,0,15.13714340358531,12.909944487358056,6.454972243679028,0,15.430334996209192,1 - 4 years,Sales,Management,"Minneapolis, MN",Generation X (born between 1966 - 1980),Male
194,"Jul 9, 2020 4:39:20 PM","Jul 9, 2020 4:55:44 PM",75,50,25,50,50,50,75,50,50,75,50,100,50,0,50,25,50,0,25,25,50,50,50,75,75,75,25,0,100,100,50,25,50,50,25,50,50,75,75,25,50,75,50,0,75,50,50,50,50,50,50,75,75,75,75,0,50,75,75,50,50,75,50,50,50,25,75,6,Detractor,51.666666666666664,53.333333333333336,48.333333333333336,48.333333333333336,56.666666666666664,50,60,50,25,60,60,40,55,50,50,70,50,55,0,24.780916184065426,22.886885410853175,31.997023671109222,22.09287754221342,19.970215917949506,5 - 8 years,Order Process & Quality,Team Member,"Houston, TX",Generation Y (born between 1981 - 2000),Male
197,"Jul 9, 2020 6:00:41 PM","Jul 9, 2020 6:07:38 PM",75,75,75,75,75,75,75,75,75,75,75,75,100,75,75,25,75,50,75,75,75,50,75,75,75,50,50,50,75,75,75,75,75,75,75,50,50,75,75,75,75,75,75,75,75,75,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,10,Promoter,71.25,76.66666666666667,63.333333333333336,71.66666666666667,73.33333333333333,75,75,80,60,70,60,75,65,75,70,75,75,75,0,14.186077485370694,6.454972243679028,15.998511835554611,8.79664438186246,6.454972243679028,Less than a year,Sales,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Male
198,"Jul 9, 2020 7:06:49 PM","Jul 9, 2020 7:43:53 PM",75,75,75,50,75,50,75,75,75,75,50,100,75,75,50,0,50,50,50,75,75,75,75,75,75,0,25,25,75,75,75,50,50,50,50,50,50,75,50,75,75,50,75,50,75,75,0,75,75,50,75,75,75,100,50,50,75,100,75,50,50,75,50,75,50,100,100,2,Detractor,62.5,70,53.333333333333336,60,66.66666666666667,70,70,70,45,75,40,55,60,65,55,75,70,60,0,22.440539270478055,14.015297764534703,28.136571693556885,12.677313820927749,24.397501823713327,9+ years,Operations,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Male
199,"Jul 9, 2020 10:40:29 PM","Jul 9, 2020 10:59:29 PM",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,25,100,50,50,75,25,50,75,75,75,50,75,50,75,100,100,100,100,50,50,50,75,50,50,50,75,100,0,50,100,100,50,100,100,100,100,100,100,100,100,50,25,75,0,100,50,75,75,25,100,100,100,10,Promoter,77.5,100,63.333333333333336,66.66666666666667,80,100,100,100,60,60,70,80,55,65,90,100,50,65,0,29.485860740472837,0,22.886885410853175,29.378482569650156,33.004328720422635,9+ years,Operations,Team Member,"Houston, TX",Generation X (born between 1966 - 1980),Male
200,"Jul 10, 2020 10:06:33 AM","Jul 11, 2020 12:05:58 PM",75,75,50,50,75,50,50,75,75,75,75,100,50,75,75,50,75,50,75,75,75,75,75,75,75,25,75,50,75,75,75,75,100,100,75,50,75,100,100,50,100,100,100,100,100,100,50,100,100,100,75,100,100,100,100,100,100,100,100,100,75,100,75,75,100,100,100,8,Passive,79.16666666666667,68.33333333333333,66.66666666666667,86.66666666666667,95,65,65,75,65,75,60,85,75,100,90,95,100,85,0,21.75670538240778,14.840420992616592,15.430334996209192,18.580583823930162,14.015297764534703,9+ years,Supply Chain,Management,"Houston, TX",Generation X (born between 1966 - 1980),Female
202,"Jul 10, 2020 2:06:17 PM","Jul 10, 2020 2:12:18 PM",50,50,50,50,50,50,100,50,50,50,50,100,50,50,50,25,0,0,0,50,75,0,25,75,25,75,25,25,75,75,50,50,50,50,50,50,25,75,50,25,25,75,75,50,75,75,50,75,50,50,75,75,75,75,75,50,25,75,50,25,50,75,50,50,50,50,75,7,Passive,51.25,56.666666666666664,36.666666666666664,51.666666666666664,60,50,60,60,15,40,55,50,45,60,60,75,45,55,0,23.735374647369238,17.59328876372492,31.14864515894865,17.59328876372492,18.41970994032518,1 - 4 years,Sales,Team Member,"Salt Lake City, UT",Generation Y (born between 1981 - 2000),Female
204,"Jul 10, 2020 2:06:00 PM","Jul 13, 2020 4:49:57 PM",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,75,100,100,100,100,100,100,50,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,10,Promoter,98.75,100,100,98.33333333333333,96.66666666666667,100,100,100,100,100,100,100,95,100,90,100,100,100,0,14.386656633139332,0,0,6.454972243679028,12.909944487358056,Less than a year,Sales,Management,"Freeport, TX",Generation Y (born between 1981 - 2000),Male
206,"Jul 10, 2020 2:08:06 PM","Jul 10, 2020 2:22:48 PM",50,50,50,50,50,50,50,25,25,25,25,75,0,0,50,0,50,0,50,50,25,50,50,50,75,75,25,25,50,75,50,50,50,50,50,25,25,75,50,50,50,50,75,25,50,25,25,75,75,50,50,75,75,75,75,50,50,75,75,25,75,75,50,50,50,50,50,3,Detractor,47.083333333333336,38.333333333333336,43.333333333333336,48.333333333333336,58.333333333333336,50,35,30,30,50,50,50,45,50,50,70,55,60,0,21.632424101433013,20.845234695819798,24.028752618081374,14.840420992616592,20.412414523193153,9+ years,Sales,Team Member,"Ferndale, WA",Generation X (born between 1966 - 1980),Female
208,"Jul 10, 2020 2:09:08 PM","Jul 10, 2020 2:34:25 PM",100,75,75,75,75,100,100,100,100,100,100,75,100,100,100,75,75,100,75,100,75,75,100,100,100,75,75,75,75,100,75,100,100,100,100,75,75,100,75,50,100,100,100,100,75,75,75,75,75,75,100,100,100,100,100,75,75,75,75,75,75,75,75,75,75,100,100,10,Promoter,87.08333333333333,91.66666666666667,85,88.33333333333333,83.33333333333333,80,100,95,85,90,80,95,75,95,75,100,75,75,0,17.21406956468257,12.198750911856663,12.677313820927749,15.998511835554611,12.198750911856663,9+ years,Supply Chain,Team Member,"SARNA, Canada",Generation X (born between 1966 - 1980),Female
209,"Jul 10, 2020 2:09:08 PM","Jul 10, 2020 2:26:59 PM",100,100,50,50,50,75,75,75,50,50,25,25,50,0,25,25,50,25,50,50,50,50,25,25,50,50,25,0,50,50,50,75,75,50,50,0,25,0,50,0,0,25,50,25,50,25,50,50,75,25,75,75,50,50,50,25,0,75,0,50,50,50,50,25,25,50,50,2,Detractor,42.916666666666664,53.333333333333336,38.333333333333336,35,45,70,65,25,40,40,35,60,15,30,45,60,30,40,0,25.016950486360123,28.136571693556885,15.998511835554611,26.38993314558738,25.354627641855497,1 - 4 years,Order Process & Quality,Supervisor,"Joliet, IL",Generation Y (born between 1981 - 2000),Male
211,"Jul 10, 2020 2:13:43 PM","Jul 10, 2020 3:00:35 PM",75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,25,75,75,75,75,50,50,75,75,75,75,75,25,75,75,25,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,100,100,75,75,75,75,75,75,75,75,10,Promoter,72.5,75,65,71.66666666666667,78.33333333333333,75,75,75,65,65,65,65,75,75,75,75,85,75,0,15.574501951983994,0,18.41970994032518,12.909944487358056,8.79664438186246,1 - 4 years,Sales,Team Member,"Beaumont, TX",Generation Y (born between 1981 - 2000),Female
212,"Jul 10, 2020 2:19:46 PM","Jul 10, 2020 2:49:36 PM",75,75,75,75,75,75,100,75,75,75,100,100,50,100,75,50,50,25,100,50,100,75,75,75,75,75,50,75,100,75,75,75,75,75,50,50,75,100,50,75,100,100,100,75,100,100,25,75,100,100,100,100,100,100,100,75,100,100,100,100,75,75,75,75,100,100,100,10,Promoter,80,80,70,78.33333333333333,91.66666666666667,75,80,85,55,80,75,70,70,95,80,100,95,80,0,22.101396066560074,14.015297764534703,21.547290184283366,18.580583823930162,20.412414523193153,9+ years,Sales,Management,"Houston, TX",Generation X (born between 1966 - 1980),Female
213,"Jul 10, 2020 2:20:28 PM","Jul 10, 2020 2:48:30 PM",100,100,100,100,100,100,100,75,75,100,75,75,75,100,100,50,50,50,50,100,75,75,75,75,75,75,75,50,100,100,75,75,75,75,75,50,75,75,75,50,50,75,50,50,100,75,25,100,75,100,75,100,75,75,100,75,75,75,75,75,75,75,25,50,100,100,100,9,Promoter,77.5,91.66666666666667,71.66666666666667,68.33333333333333,78.33333333333333,100,90,85,60,75,80,75,65,65,75,85,75,65,0,20.459626376730583,12.198750911856663,18.580583823930162,14.840420992616592,18.580583823930162,9+ years,Order Process & Quality,Supervisor,"Houston, TX",Generation X (born between 1966 - 1980),Male
215,"Jul 10, 2020 2:31:08 PM","Jul 13, 2020 9:19:44 AM",100,100,100,100,100,75,100,75,75,75,75,100,100,75,75,25,75,75,75,75,75,100,75,75,100,50,75,75,75,75,75,75,100,100,100,100,100,100,75,50,75,75,75,75,75,100,75,100,100,100,100,100,100,100,75,75,75,100,100,75,100,100,100,100,100,100,100,10,Promoter,84.16666666666667,88.33333333333333,73.33333333333333,83.33333333333333,91.66666666666667,100,80,85,65,85,70,90,85,75,95,95,85,100,0,18.95988111196311,12.909944487358056,17.59328876372492,15.430334996209192,12.198750911856663,5 - 8 years,Sales,Management,"Joliet, IL",Generation X (born between 1966 - 1980),Male
216,"Jul 10, 2020 2:33:34 PM","Jul 10, 2020 3:05:14 PM",75,50,75,75,75,75,75,75,50,75,75,100,50,25,75,25,75,50,75,50,50,25,25,50,25,75,75,50,75,100,50,25,50,50,50,50,75,100,0,50,25,100,75,50,100,75,75,100,75,75,50,100,75,75,100,50,25,75,50,100,50,75,50,25,75,100,100,9,Promoter,63.333333333333336,68.33333333333333,55,56.666666666666664,73.33333333333333,70,70,65,55,35,75,45,55,70,80,80,60,55,0,25.050686029656692,17.59328876372492,23.528098702858006,29.072978781646974,22.09287754221342,9+ years,Sales,Team Member,"Baton Rouge, LA",Baby Boomer (born between 1946 - 1965),Female
217,"Jul 10, 2020 2:34:47 PM","Jul 10, 2020 2:40:58 PM",50,50,50,75,75,75,50,50,75,50,75,100,50,75,75,25,50,50,50,75,25,50,75,50,75,25,25,50,75,75,75,75,75,75,50,50,50,75,75,50,50,75,75,50,75,75,25,50,75,50,75,75,75,75,50,75,50,75,75,75,75,25,50,75,50,50,50,7,Passive,61.666666666666664,65,51.666666666666664,65,65,60,60,75,50,55,50,70,60,65,55,70,70,55,0,18.3654950818385,15.811388300841896,19.970215917949506,12.677313820927749,15.811388300841896,1 - 4 years,Sales,Team Member,"Golden, CO",Generation Y (born between 1981 - 2000),Female
